Country,Year,GDP_USD_Billions,Population_Millions,GDP_Per_Capita_USD,GDP_Growth_Percent,Inflation_Percent,Investment_Percent_Of_GDP,Trade_Balance_Percent_Of_GDP
India,2015,2100,1311,1601,7.6,4.9,31.2,-1.2
India,2016,2290,1324,1729,8.2,4.5,32.1,-1.0
India,2017,2650,1339,1980,6.8,3.6,32.8,-0.8
India,2018,2710,1353,2002,6.5,4.0,33.5,-0.9
India,2019,2870,1366,2100,4.2,4.8,32.9,-1.5
India,2020,2620,1380,1899,-7.3,6.6,30.0,-2.1
India,2021,3170,1393,2277,9.5,5.1,32.2,-1.8
India,2022,3380,1407,2402,6.8,6.0,33.0,-1.6
India,2023,3560,1420,2507,7.2,5.5,33.5,-1.4

USA,2015,18220,321,56732,2.9,0.1,20.1,-2.7
USA,2016,18745,323,58039,1.6,1.3,20.3,-2.6
USA,2017,19550,325,60154,2.4,2.1,20.5,-2.8
USA,2018,20610,327,63063,3.0,2.4,21.0,-3.0
USA,2019,21430,329,65152,2.2,1.8,21.2,-2.9
USA,2020,20940,331,63274,-3.4,1.2,20.5,-3.1
USA,2021,22940,333,68808,5.7,4.7,21.4,-3.0
USA,2022,25460,335,75910,2.1,6.5,22.0,-2.8
USA,2023,27000,337,80118,2.5,4.1,22.3,-2.7

China,2015,11220,1371,8177,6.9,1.5,44.0,2.6
China,2016,11270,1379,8174,6.7,2.0,43.5,2.7
China,2017,12370,1386,8922,6.9,1.6,43.0,2.8
China,2018,13890,1393,9973,6.6,2.1,42.7,2.6
China,2019,14340,1400,10229,6.0,2.9,42.5,2.5
China,2020,14720,1409,10452,2.3,2.5,42.0,2.3
China,2021,17730,1414,12533,8.4,0.9,42.2,2.1
China,2022,17790,1419,12537,3.0,2.0,42.5,2.0
China,2023,18100,1425,12691,5.2,0.7,42.7,1.9

Germany,2015,3370,82,41100,1.7,0.2,20.5,8.2
Germany,2016,3470,82,42317,2.2,0.4,20.8,8.5
Germany,2017,3660,83,44145,2.8,1.6,21.2,8.3
Germany,2018,3990,83,48072,1.5,1.9,21.5,7.8
Germany,2019,3860,83,46506,0.6,1.4,21.3,7.5
Germany,2020,3800,83,45783,-4.9,0.5,20.9,6.8
Germany,2021,4220,83,50723,2.9,3.1,21.4,7.0
Germany,2022,4040,84,48095,1.8,6.9,21.0,6.2
Germany,2023,4300,84,51190,1.3,5.8,21.1,6.0

UK,2015,2920,65,44923,2.4,0.0,17.0,-4.8
UK,2016,2690,66,40757,1.9,0.7,17.3,-4.5
UK,2017,2660,66,40303,1.8,2.7,17.5,-4.6
UK,2018,2860,67,42686,1.3,2.5,17.6,-4.9
UK,2019,2830,67,42239,1.4,1.8,17.4,-4.7
UK,2020,2700,67,40298,-9.3,0.9,16.9,-5.2
UK,2021,3160,68,46470,7.4,2.6,17.2,-5.0
UK,2022,3090,68,45441,4.3,9.1,17.1,-4.8
UK,2023,3280,68,48165,0.5,7.2,17.0,-4.7

Japan,2015,4380,127,34409,1.4,0.8,24.8,3.3
Japan,2016,4930,127,38818,0.6,-0.1,24.7,3.1
Japan,2017,4860,127,38267,2.2,0.5,24.5,3.0
Japan,2018,4970,127,39133,0.3,1.0,24.4,3.1
Japan,2019,5080,126,40317,0.7,0.5,24.2,3.0
Japan,2020,5060,126,40159,-4.3,0.0,23.8,2.9
Japan,2021,4940,126,39206,1.6,-0.2,23.9,3.0
Japan,2022,4250,125,34000,1.0,2.5,23.7,2.8
Japan,2023,4320,124,34839,1.9,3.0,23.5,2.9

Brazil,2015,1800,204,8823,-3.5,9.0,18.0,-1.5
Brazil,2016,1790,206,8699,-3.3,8.7,17.8,-1.7
Brazil,2017,2060,208,9904,1.3,3.5,18.2,-1.8
Brazil,2018,2140,210,10190,1.8,3.7,18.4,-1.6
Brazil,2019,2200,211,10426,1.4,3.7,18.3,-1.9
Brazil,2020,2140,212,10094,-4.1,3.2,17.9,-2.0
Brazil,2021,2500,213,11737,4.6,8.7,18.5,-2.1
Brazil,2022,2630,214,12289,2.9,9.3,18.6,-2.2
Brazil,2023,2720,215,12674,3.1,5.0,18.4,-2.1



this dataset is collected from
World Bank Open Data — GDP (current US$) indicator page: https://data.worldbank.org/indicator/NY.GDP.MKTP.CD
IMF Data / DataMapper (for macroeconomic indicators, forecasts etc.): https://www.imf.org/en/Data
